Latitude,Longitude,Depth to water (ft),lastLoc
36.08916666666667,-85.7238888888889,50.23,3604250894850d
36.093333333333334,-94.1825,21.36,3605210854326d
36.09527777777778,-84.57527777777777,2.91,3605360941057d
36.09805555555556,-87.58944444444444,12.88,3605430843431d
36.16972222222222,-79.99833333333333,20.65,3605530873522d
36.19583333333333,-89.6613888888889,21.13,3610110795954d
36.206944444444446,-110.40194444444445,829.5,3611450893941d
36.20888888888889,-115.10277777777777,1.77,3612251102407d
36.226111111111116,-120.06416666666667,507.65,3612321150610d
36.28444444444444,-115.20527777777778,108.12,3613341200351d
36.29416666666666,-99.5425,124.61,3617041151219d
36.308055555555555,-76.27555555555556,4.8,3617390993233d
36.32638888888889,-120.22916666666667,463.93,3618290761632d
4.0375,-509.715,71.11,3619351201345d
36.375277777777775,-79.68555555555555,22.72,	362155094254d
36.416666666666664,-89.46972222222223,19.93,3622310794108d
36.42472222222222,-116.2863888888889,47.96,3625000892811d
36.45388888888889,-103.11999999999999,174.45,3625291161711d
36.455000000000005,-89.92305555555556,-1.4,3627141030712d
36.49305555555556,-96.4875,4.71,3627180895523d
36.49333333333333,-109.94472222222223,374.75,3629350962915d
36.49861111111111,-89.97166666666666,15.16,3629361095641d
36.509166666666665,-101.73527777777778,242.11,3629550895818d
36.52861111111111,-110.59722222222221,217.03,3630331014407d
36.54333333333333,-94.48416666666667,480.36,3631431103550d
36.55555555555555,-76.4363888888889,1.37,3632360942903d
36.56027777777778,-75.99722222222222,13.79,3633200762611d
36.56027777777778,-75.99722222222222,4.86,3633370755950d
36.57666666666667,-92.65277777777779,45.79,3633370755950d
36.57833333333333,-90.61194444444443,11.54,3634360923910d
36.59722222222222,-94.39055555555557,364.91,3634420903643d
36.597500000000004,-90.25777777777778,23.95,3635500942326d
36.606944444444444,-76.87388888888889,175.94,3635510901528d
36.611666666666665,-76.52361111111111,1.39,3636250765226d
36.62444444444444,-93.25111111111111,212.24,3636420763125d
36.63027777777778,-83.71861111111112,7.79,3637280931504d
36.64722222222222,-110.16888888888889,203.16,3637490834307d
36.64861111111111,-93.22972222222222,159.85,3638501101008d
36.657777777777774,-76.55805555555555,10.65,3638550931347d
36.66833333333333,-93.33416666666666,331.59,3639280763329d
36.672777777777775,-82.75055555555555,79.59,3640060932003d
36.67583333333333,-76.94055555555556,119.79,3640220824502d
36.67583333333333,-76.94055555555556,128.23,3640330765626d
36.683055555555555,-76.91361111111112,129.88,3640330765626d
36.683055555555555,-93.86666666666666,348.39,3640590765449d
36.690555555555555,-76.00972222222222,4.27,3640590935200d
36.705000000000005,-78.0325,21.69,3641260760035d
36.71527777777778,-108.09222222222222,37.01,3642180780157d
36.72027777777778,-94.20305555555557,194.78,3642551080532d
36.72138888888889,-76.49583333333334,0.35,3643130941211d
36.723333333333336,-91.86388888888888,210.64,3643170762945d
36.72361111111111,-76.02083333333333,9.67,3643240915150d
36.72694444444445,-96.53166666666667,150.39,3643250760115d
36.727222222222224,-110.26277777777777,175.82,3643370963154d
36.73166666666667,-76.41388888888889,1.34,3643381101546d
36.73277777777778,-120.53027777777778,409.26,3643540762450d
36.74805555555556,-93.91000000000001,39.78,3643581203149d
36.74805555555556,-93.91000000000001,250.47,3644530935436d
36.75111111111111,-76.05361111111111,5.64,3644530935436d
36.75333333333333,-76.57694444444444,92.32,3645040760313d
36.76611111111111,-76.12888888888888,6.69,3645120763437d
