Latitude,Longitude,Depth to water (ft),lastLoc,Address
42.05444444,-70.72638889,9.86,4203050725814d,Massachusetts
42.05138889,-72.97055556,3.88,4202120952357d,Massachusetts
42.03666667,-95.39916667,25.17,4202060700459d,Iowa
42.035,-70.08305556,11.2,4202041012005d,Massachusetts
42.03444444,-101.3347222,3.94,4159560732415d,Nebraska
41.99888889,-73.40416667,10.27,4156070800446d,
41.93527778,-80.07944444,17.37,4155590980052d,Pennsylvania
41.93305556,-98.01444444,94.76,4155520700317d,Nebraska
41.93111111,-70.05472222,1.88,4154530704349d,Massachusetts
41.91472222,-70.73027778,22.03,4154390930948d,Massachusetts
41.91083333,-93.16333333,13.79,4153540695852d,Iowa
41.89833333,-69.98111111,12.45,4153200754504d,Massachusetts
41.88888889,-75.75111111,67.54,4152290705543d,Pennsylvania
41.87472222,-70.92861111,8.23,4151500782204d,Massachusetts
41.86388889,-78.36777778,101.8,4150220964343d,Pennsylvania
41.83944444,-96.72861111,13.77,4149521000603d,Nebraska
41.83111111,-100.1008333,4.2,4149480740350d,Nebraska
41.83,-74.06388889,16.12,4148310721730d,New York
41.80861111,-72.29166667,14.71,4147410721345d,Connecticut
41.79472222,-72.22916667,2.82,4147370735633d,
41.79361111,-73.9425,67.43,4147120711750d,New York
41.78666667,-71.29722222,3.34,4146400774938d,Massachusetts
41.77777778,-77.82722222,17.88,4146320700149d,Pennsylvania
41.77555556,-70.03027778,32.06,4146071022633d,Massachusetts
41.76861111,-102.4425,1.76,4145250743606d,Nebraska
41.75694444,-74.60166667,8.54,4145130773337d,New York
41.75361111,-77.56027778,30.53,4144550703257d,Pennsylvania
41.74861111,-70.54916667,160.87,4144290740520d,Massachusetts
41.74138889,-74.08888889,24.33,4144050703121d,New York
41.73472222,-70.5225,123.99,4143330751532d,Massachusetts
41.72583333,-75.25888889,23.41,4143300762805d,Pennsylvania
41.725,-76.46805556,7.69,4143180852006d,Pennsylvania
41.72166667,-85.335,13.97,4143150912520d,Indiana
41.72083333,-91.42222222,17.84,4142400720332d,Iowa
41.71111111,-72.05888889,11.45,4142361121012d,Connecticut
41.71,-112.17,23.91,4142190703136d,Utah
41.70527778,-70.52666667,101.52,4142050703347d,Massachusetts
41.70138889,-70.56305556,172.13,4142020860350d,Massachusetts
41.70055556,-86.06388889,9.54,4142020860350d,Indiana
41.70055556,-86.06388889,9.2,4141590792136d,Indiana
41.69972222,-79.36,41.98,4141590703105d,Pennsylvania
41.69972222,-70.51805556,97.59,4141390703115d,Massachusetts
41.69416667,-70.52083333,30.45,4141290703614d,Massachusetts
41.69138889,-70.60388889,32.16,4141280734752d,Massachusetts
41.69111111,-73.79777778,13.66,4141250702659d,New York
41.69027778,-70.44972222,47.71,4141240703114d,Massachusetts
41.69,-70.52055556,16.85,4141010700110d,Massachusetts
41.68361111,-70.01944444,27.86,4139520842612d,Massachusetts
41.66444444,-84.43666667,31.16,4139520842612d,Ohio
41.66444444,-84.43666667,29.94,4139300701909d,Ohio
41.65833333,-70.31916667,25.23,4138120844446d,Massachusetts
41.63666667,-84.74611111,44.3,4138120844446d,Ohio
41.63666667,-84.74611111,43.2,4138010703227d,Ohio
41.63361111,-70.54083333,6.65,4137430893101d,Massachusetts
41.62861111,-89.51694444,25.9,4137430893101d,Illinois
41.62861111,-89.51694444,7.93,4135590872703d,Illinois
41.59972222,-87.45083333,1.89,4135420802450d,Indiana
41.595,-80.41388889,49.14,4135350722537d,Pennsylvania
